,date,value,changed
272,2002-09-01,181.1,86.83603792772797
273,2002-10-01,181.5,87.0569103738903
274,2002-11-01,182.0,87.3323924675542
275,2002-12-01,182.3,87.49722763238937
276,2003-01-01,182.9,87.82635544368942
277,2003-02-01,183.4,88.09972887179221
278,2003-03-01,184.2,88.53593388814988
279,2003-04-01,184.0,88.4273562551423
280,2003-05-01,184.6,88.75344321166405
281,2003-06-01,184.6,88.75344321166405
282,2003-07-01,184.9,88.91595675445929
283,2003-08-01,185.2,89.07820661925105
284,2003-09-01,185.5,89.24019366028776
285,2003-10-01,185.9,89.45582708346836
286,2003-11-01,186.0,89.50961944495303
287,2003-12-01,186.4,89.7246732083939
288,2004-01-01,186.9,89.99291355174154
289,2004-02-01,187.1,90.09992264751466
290,2004-03-01,187.7,90.4206067736504
291,2004-04-01,188.3,90.74026580401802
292,2004-05-01,188.9,91.05890627135739
293,2004-06-01,189.5,91.37653464615886
294,2004-07-01,189.9,91.58761644035411
295,2004-08-01,190.3,91.79825361781593
296,2004-09-01,190.8,92.06099665512544
297,2004-10-01,191.2,92.27064026099545
298,2004-11-01,191.8,92.58444779237622
299,2004-12-01,192.1,92.74086072251177
300,2005-01-01,192.3,92.84497316394852
301,2005-02-01,193.0,93.20898772453094
302,2005-03-01,193.9,93.67530896805427
303,2005-04-01,194.3,93.88160087109706
304,2005-05-01,194.6,94.03600128283149
305,2005-06-01,194.6,94.03600128283149
306,2005-07-01,195.4,94.44710097450672
307,2005-08-01,195.9,94.70298633786393
308,2005-09-01,196.8,95.16240440830805
309,2005-10-01,198.7,96.12785156277958
310,2005-11-01,199.5,96.53046857334827
311,2005-12-01,199.6,96.58059388663149
312,2006-01-01,200.5,97.0314956902387
313,2006-02-01,200.8,97.1811216254008
314,2006-03-01,201.2,97.38032481265178
315,2006-04-01,201.6,97.57913196970945
316,2006-05-01,202.3,97.92635419193168
317,2006-06-01,202.8,98.17351187853573
318,2006-07-01,203.4,98.4693698667014
319,2006-08-01,204.1,98.8135193258951
320,2006-09-01,204.7,99.10749286827628
321,2006-10-01,204.8,99.15634484678144
322,2006-11-01,205.5,99.49814172178144
323,2006-12-01,206.2,99.83877432518774
324,2007-01-01,206.788,100.12393436398504
325,2007-02-01,207.536,100.48565748138064
326,2007-03-01,208.119,100.76657259972156
327,2007-04-01,208.518,100.95828983841673
328,2007-05-01,208.883,101.13333467867035
329,2007-06-01,209.561,101.4579182972511
330,2007-07-01,209.743,101.54476651805554
331,2007-08-01,210.004,101.66920452075408
332,2007-09-01,210.5,101.90539049816402
333,2007-10-01,211.057,102.16999857417352
334,2007-11-01,211.864,102.55235973727166
335,2007-12-01,212.418,102.81384823932957
336,2008-01-01,212.873,103.02804854250537
337,2008-02-01,213.377,103.26480942810385
338,2008-03-01,214.422,103.75455293373003
339,2008-04-01,214.997,104.02271571553413
340,2008-05-01,215.866,104.42690740192975
341,2008-06-01,216.864,104.88923125098424
342,2008-07-01,218.014,105.41951751334221
343,2008-08-01,218.053,105.43740627277968
344,2008-09-01,217.836,105.33788918289788
345,2008-10-01,217.705,105.27775219911192
346,2008-11-01,217.585,105.22263173793739
347,2008-12-01,217.469,105.1693192393736
348,2009-01-01,217.631,105.243812615441
349,2009-02-01,217.563,105.21256706678295
350,2009-03-01,217.458,105.16430518401796
351,2009-04-01,217.304,105.0934869110641
352,2009-05-01,216.99,104.9489888806551
353,2009-06-01,216.955,104.9328591050894
354,2009-07-01,216.581,104.76047312643023
355,2009-08-01,216.729,104.82880783723128
356,2009-09-01,216.68,104.80619895701682
357,2009-10-01,216.942,104.92711459297767
358,2009-11-01,216.962,104.93633364691834
359,2009-12-01,216.899,104.90729630397351
360,2010-01-01,216.206,104.58779275623931
361,2010-02-01,216.042,104.51193917215747
362,2010-03-01,216.146,104.56007795998575
363,2010-04-01,216.092,104.53509484671973
364,2010-05-01,216.128,104.55175441764322
365,2010-06-01,216.06,104.5202915808058
366,2010-07-01,216.214,104.59156807807508
367,2010-08-01,216.254,104.61006826770203
368,2010-09-01,216.234,104.60081988385711
369,2010-10-01,216.359,104.65862762917006
370,2010-11-01,216.484,104.71640197643548
371,2010-12-01,216.823,104.87299553531281
372,2011-01-01,217.061,104.98276248808074
373,2011-02-01,217.443,105.15874988332907
374,2011-03-01,217.794,105.32017149726926
375,2011-04-01,218.186,105.50015809010468
376,2011-05-01,218.521,105.6536968139458
377,2011-06-01,218.808,105.785034305537
378,2011-07-01,219.386,106.04919283721773
379,2011-08-01,219.802,106.23881295882987
380,2011-09-01,220.152,106.39804717871868
381,2011-10-01,220.447,106.53204550714632
382,2011-11-01,220.685,106.64000796524282
383,2011-12-01,220.966,106.76733877612712
384,2012-01-01,221.096,106.82617135670512
385,2012-02-01,221.299,106.91798667674708
386,2012-03-01,221.579,107.0445123275634
387,2012-04-01,221.992,107.23090183198393
388,2012-05-01,222.069,107.2655877666122
389,2012-06-01,222.319,107.37816538888275
390,2012-07-01,222.508,107.46317836573135
391,2012-08-01,223.031,107.69822609435235
392,2012-09-01,223.463,107.89192114122925
393,2012-10-01,223.949,108.1094068099977
394,2012-11-01,224.504,108.3572310914189
395,2012-12-01,224.757,108.46992396103369
396,2013-01-01,225.106,108.625202773262
397,2013-02-01,225.58,108.83577023925582
398,2013-03-01,225.769,108.91955426266215
399,2013-04-01,226.299,109.15430748387497
400,2013-05-01,226.949,109.44153809470401
401,2013-06-01,227.324,109.60677345595259
402,2013-07-01,227.579,109.71894814934177
403,2013-08-01,227.911,109.86483155686179
404,2013-09-01,228.354,110.05920567658397
