,realtime_start,realtime_end,date,value
251,2024-08-13,2024-08-13,2019-05-01,183.1
252,2024-08-13,2024-08-13,2019-06-01,182.5
253,2024-08-13,2024-08-13,2019-07-01,183.4
254,2024-08-13,2024-08-13,2019-08-01,183.5
255,2024-08-13,2024-08-13,2019-09-01,183.8
256,2024-08-13,2024-08-13,2019-10-01,184.4
257,2024-08-13,2024-08-13,2019-11-01,184.2
258,2024-08-13,2024-08-13,2019-12-01,184.2
259,2024-08-13,2024-08-13,2020-01-01,184.4
260,2024-08-13,2024-08-13,2020-02-01,184.4
261,2024-08-13,2024-08-13,2020-03-01,184.4
262,2024-08-13,2024-08-13,2020-04-01,183.8
263,2024-08-13,2024-08-13,2020-05-01,184.3
264,2024-08-13,2024-08-13,2020-06-01,185.0
265,2024-08-13,2024-08-13,2020-07-01,185.1
266,2024-08-13,2024-08-13,2020-08-01,185.3
267,2024-08-13,2024-08-13,2020-09-01,185.2
268,2024-08-13,2024-08-13,2020-10-01,185.0
269,2024-08-13,2024-08-13,2020-11-01,185.0
270,2024-08-13,2024-08-13,2020-12-01,185.0
271,2024-08-13,2024-08-13,2021-01-01,179.6
272,2024-08-13,2024-08-13,2021-02-01,178.4
273,2024-08-13,2024-08-13,2021-03-01,178.4
274,2024-08-13,2024-08-13,2021-04-01,178.1
275,2024-08-13,2024-08-13,2021-05-01,178.6
276,2024-08-13,2024-08-13,2021-06-01,180.2
277,2024-08-13,2024-08-13,2021-07-01,182.061
278,2024-08-13,2024-08-13,2021-08-01,182.035
279,2024-08-13,2024-08-13,2021-09-01,182.003
280,2024-08-13,2024-08-13,2021-10-01,181.578
281,2024-08-13,2024-08-13,2021-11-01,181.614
282,2024-08-13,2024-08-13,2021-12-01,182.548
283,2024-08-13,2024-08-13,2022-01-01,182.615
284,2024-08-13,2024-08-13,2022-02-01,184.051
285,2024-08-13,2024-08-13,2022-03-01,184.086
286,2024-08-13,2024-08-13,2022-04-01,185.255
287,2024-08-13,2024-08-13,2022-05-01,185.408
288,2024-08-13,2024-08-13,2022-06-01,186.857
289,2024-08-13,2024-08-13,2022-07-01,189.555
290,2024-08-13,2024-08-13,2022-08-01,189.657
291,2024-08-13,2024-08-13,2022-09-01,189.913
292,2024-08-13,2024-08-13,2022-10-01,190.511
293,2024-08-13,2024-08-13,2022-11-01,190.72
294,2024-08-13,2024-08-13,2022-12-01,193.743
295,2024-08-13,2024-08-13,2023-01-01,197.32
296,2024-08-13,2024-08-13,2023-02-01,197.635
297,2024-08-13,2024-08-13,2023-03-01,197.796
298,2024-08-13,2024-08-13,2023-04-01,198.425
299,2024-08-13,2024-08-13,2023-05-01,199.536
300,2024-08-13,2024-08-13,2023-06-01,206.875
301,2024-08-13,2024-08-13,2023-07-01,207.192
302,2024-08-13,2024-08-13,2023-08-01,207.217
303,2024-08-13,2024-08-13,2023-09-01,207.969
304,2024-08-13,2024-08-13,2023-10-01,208.123
305,2024-08-13,2024-08-13,2023-11-01,208.447
306,2024-08-13,2024-08-13,2023-12-01,209.134
307,2024-08-13,2024-08-13,2024-01-01,209.947
308,2024-08-13,2024-08-13,2024-02-01,210.822
309,2024-08-13,2024-08-13,2024-03-01,211.432
310,2024-08-13,2024-08-13,2024-04-01,211.624
311,2024-08-13,2024-08-13,2024-05-01,213.65
312,2024-08-13,2024-08-13,2024-06-01,214.017
313,2024-08-13,2024-08-13,2024-07-01,214.489
